Lamond|Murray|11
Tracy|Murray|11
Dikembe|Mutombo|17
Pete|Myers|11
Larry|Nance|12
Steve|Nash|13
Don|Nelson|13
Radoslav|Nesterovic|11
Chuck|Nevitt|11
Johnny|Newman|15
Norm|Nixon|11
Dirk|Nowitzki|11
Jermaine|O'neal|13
Shaquille|O'neal|17
Charles|Oakley|18
Hakeem|Olajuwon|17
Mark|Olberding|11
Kevin|Ollie|12
Bo|Outlaw|14
Doug|Overton|11
Tom|Owens|11
Robert|Pack|12
Robert|Parish|20
Anthony|Parker|12
Billy|Paultz|14
Gary|Payton|16
Anthony|Peeler|12
Will|Perdue|12
Sam|Perkins|16
Chuck|Person|13
Eric|Piatkowski|13
Paul|Pierce|11
Ricky|Pierce|15
Ed|Pinckney|11
Scottie|Pippen|16
Olden|Polynice|16
Terry|Porter|16
Mark|Price|11
Kurt|Rambis|13
Theo|Ratliff|14
J.r.|Reid|11
Robert|Reid|13
Glen|Rice|14
Mitch|Richmond|13
Doc|Rivers|12
Fred|Roberts|13
Oscar|Robertson|13
Alvin|Robertson|11
Clifford T.|Robinson|12
Clifford R.|Robinson|17
David|Robinson|13
Larry|Robinson|11
Dave|Robisch|12
Guy|Rodgers|11
Dennis|Rodman|13
Rodney|Rogers|11
Tree|Rollins|17
Sean|Rooks|11
Jalen|Rose|12
Malik|Rose|12
Dan|Roundfield|11
Jeff|Ruland|11
Bill|Russell|12
Bryon|Russell|12
Cazzie|Russell|11
John|Salley|13
Thomas|Sanders|12
Danny|Schayes|17
Dolph|Schayes|14
Detlef|Schrempf|15
Byron|Scott|13
Paul|Seymour|12
Brian|Shaw|14
Purvis|Short|11
Jack|Sikma|13
Paul|Silas|15
Brian|Skinner|11
Charles|Smith|17
Joe|Smith|14
Larry|Smith|12
Randy|Smith|11
Steve|Smith|13
Rik|Smits|11
Eric|Snow|12
Dick|Snyder|12
Rory|Sparrow|11
Felton|Spencer|11
Latrell|Sprewell|12
Jerry|Stackhouse|14
John|Starks|13
John|Stockton|18
Damon|Stoudamire|12
Rod|Strickland|16
Reggie|Theus|12
Isiah|Thomas|12
Kurt|Thomas|14
Tim|Thomas|12
Lasalle|Thompson|14
Mychal|Thompson|12
Otis|Thorpe|16
Sedale|Threatt|13
Nate|Thurmond|13
Wayman|Tisdale|11
Jeff|Turner|11
Wes|Unseld|12
Dick|Van Arsdale|11
Tom|Van Arsdale|11
Nick|Van Exel|12
Kiki|Vandeweghe|12
Jacque|Vaughn|11
Antoine|Walker|11
Chet|Walker|12
Ben|Wallace|13
Rasheed|Wallace|14
Bill|Walton|12
Kermit|Washington|14
Clarence|Weatherspoon|12
Spud|Webb|12
Chris|Webber|14
Marvin|Webster|11
Scott|Wedman|12
Bob|Weiss|11
Bill|Wennington|14
David|Wesley|13
Doug|West|11
Jerry|West|13
Mark|West|16
Paul|Westphal|11
Ennis|Whatley|13
Jojo|White|11
Lenny|Wilkens|14
Jamaal|Wilkes|11
Dominique|Wilkins|16
Gerald|Wilkins|13
Aaron|Williams|14
Buck|Williams|16
Eric|Williams|11
Gus|Williams|11
Herb|Williams|17
Hotrod|Williams|12
Jason|Williams|11
Scott|Williams|14
Corliss|Williamson|11
Kevin|Willis|22
David|Wingate|14
Joe|Wolf|11
Orlando|Woolridge|12
James|Worthy|11
Lorenzen|Wright|12
